League;Season;Manager;Slug;ShortName;MatchName;BirthDate;Nationality;Role;PreferredFormation;Team;Matches;Wins;Draws;Losses;GoalsFor;GoalsAgainst;Points
73;2526;Heiko Westermann;heiko_westermann;Heiko Westermann;H. Westermann;;Germany;Assistant;;Barcelona;;;;;;;
73;2526;Iosu Rivas Carranza;iosu_rivas_carranza;Iosu Rivas;Iosu Rivas;;Spain;Assistant;;Real Sociedad;;;;;;;
73;2526;Iñigo Pérez Soto;inigo_perez_soto;Iñigo Pérez;Iñigo Pérez;;Spain;Coach;;Rayo Vallecano;;;;;;;
73;2526;John Maisano;john_maisano; ;J. Maisano;;Australia;Assistant;;Real Sociedad;;;;;;;
73;2526;Jon Iñaki Aspiazu San Emeterio;jon_inaki_aspiazu_san_emeterio;Jon Aspiazu;Aspiazu;;Spain;Assistant;;Athletic Club;;;;;;;
73;2526;Jon López Sáenz;jon_lopez_saenz;Jon Lopez;Jon López;;Spain;Assistant;;Elche;;;;;;;
73;2526;Jorge Alarcón;jorge_alarcon;Jorge Alarcón;Jorge Alarcón;;Spain;Assistant;;Valencia;;;;;;;
73;2526;Jorge Guillermo Almada Álves;jorge_guillermo_almada_alves;Guillermo Almada;G. Almada;;Uruguay;Coach;;Real Oviedo;;;;;;;
73;2526;José Bordalás Jiménez;jose_bordalas_jimenez;José Bordalás;José Bordalás;05/03/1964;Spain;Coach;4-4-2;Getafe;717;290;191;236;895;787;1061
73;2526;José Manuel González Álvarez;jose_manuel_gonzalez_alvarez;José Manuel González Álvarez;Manolo González;;Spain;Coach;;Espanyol;;;;;;;
73;2526;José María Sanz Sánchez;jose_maria_sanz_sanchez;José María Sanz Sánchez;Chema Sanz;;Spain;Assistant;;Osasuna;;;;;;;
73;2526;Juan Rubén Uría Corral;juan_ruben_uria_corral;Rubén Uría;Rubén Uría;;Spain;Assistant;;Villarreal;;;;;;;
73;2526;Julián Carmona Villanueva;julian_carmona_villanueva;Julián Carmona;Julián Carmona;;Spain;Assistant;;Real Madrid;;;;;;;
73;2526;Luís Manuel Ferreira de Castro;luis_manuel_ferreira_de_castro;Luís Manuel Ferreira de Castro;Luís Castro;07/05/1980;Portugal;Coach;4-1-4-1;Levante;236;109;44;83;388;319;371
73;2526;Manuel Luis Pellegrini Ripamonti;manuel_luis_pellegrini_ripamonti;Manuel Pellegrini;M. Pellegrini;16/09/1953;Chile;Coach;4-2-3-1;Real Betis;1205;596;273;336;2052;1463;2061
73;2526;Marcelino García Toral;marcelino_garcia_toral;Marcelino García;Marcelino;;Spain;Coach;;Villarreal;;;;;;;
73;2526;Marcus Sorg;marcus_sorg;Marcus Sorg;M. Sorg;;Germany;Assistant;;Barcelona;;;;;;;
73;2526;Martín Gastón Demichelis;martin_gaston_demichelis;Martín Demichelis;M. Demichelis;;Argentina;Coach;;Mallorca;;;;;;;
73;2526;Matías Jesús Almeyda;matias_jesus_almeyda;Matías Almeyda;M. Almeyda;;Argentina;Coach;;Sevilla;;;;;;;
73;2526;Miguel Ángel Sánchez Muñoz;miguel_angel_sanchez_munoz;Míchel Sánchez;Míchel;30/10/1975;Spain;Coach;4-2-3-1;Girona;362;147;81;134;508;475;522
73;2526;Mikel Rico Moreno;mikel_rico_moreno;Mikel Rico;Mikel Rico;;Spain;Assistant;;Real Oviedo;;;;;;;
73;2526;Nelson David Vivas;nelson_david_vivas;Nelson Vivas;N. Vivas;;Argentina;Assistant;;Atlético de Madrid;;;;;;;
73;2526;Patricio Andrés Graff;patricio_andres_graff;Patricio Graff;P. Graff;;Argentina;Assistant;;Alavés;;;;;;;
73;2526;Patricio Moreno Ruiz;patricio_moreno_ruiz;Patri Moreno;Patri;;Spain;Assistant;;Getafe;;;;;;;
73;2526;Pellegrino Matarazzo;pellegrino_matarazzo;Pellegrino Matarazzo;P. Matarazzo;28/11/1977;USA;Coach;3-4-2-1;Real Sociedad;301;115;80;106;502;454;425
73;2526;Roberto Fernández Martínez;roberto_fernandez_martinez;Rober Fernández;Rober Fernández;;Spain;Assistant;;Celta de Vigo;;;;;;;
73;2526;Rubén Cousillas Fuse;ruben_cousillas_fuse;Ruben Cousillas;R. Cousillas;;Argentina;Assistant;;Real Betis;;;;;;;
73;2526;Salvador Fúnez Sardina;salvador_funez_sardina;Salva Fúnez;Salva;;Spain;Assistant;;Girona;;;;;;;
73;2526;Sebastián Parrilla Simione;sebastian_parrilla_simione;Sebastián Parrilla;S. Parrilla;;Argentina;Assistant;;Real Madrid;;;;;;;
73;2526;Toni Tapalović;toni_tapalovic;Toni Tapalovic;T. Tapalović;;Croatia;Assistant;;Barcelona;;;;;;;
73;2526;Vicente Iborra de la Fuente;vicente_iborra_de_la_fuente;Vicente Iborra;Vicente Iborra;;Spain;Assistant;;Levante;;;;;;;
73;2526;Álvaro Arbeloa Coca;alvaro_arbeloa_coca;Álvaro Arbeloa;Álvaro Arbeloa;17/01/1983;Spain;Coach;4-3-3;Real Madrid;58;36;6;16;114;63;114
73;2526;Ömer Toprak;omer_toprak;Ömer Toprak;Ö. Toprak;;Türkiye;Assistant;;Real Sociedad;;;;;;;
